,item,a,b,real,alt,passage,condition,first_mention,mentions_real,mentions_alt,stim_number,knowledge_cue
0,chocolates,Pamela,Marta,top,bottom,"It is Pamela's birthday, and their auntie pops in to give them a box of chocolates. Pamela puts the chocolates in the top drawer for safe-keeping. A few minutes later, Pamela's greedy sibling Marta comes in and asks Pamela: “Where have you put your chocolates, in your top drawer or your bottom drawer?” Pamela does not want Marta to find the chocolates. Pamela says the chocolates are in the [MASK] drawer.",Deception,Real,2,1,1,Explicit
1,chocolates,Pamela,Marta,bottom,top,"It is Pamela's birthday, and their auntie pops in to give them a box of chocolates. Pamela puts the chocolates in the bottom drawer for safe-keeping. A few minutes later, Pamela's greedy sibling Marta comes in and asks Pamela: “Where have you put your chocolates, in your bottom drawer or your top drawer?” Pamela does not want Marta to find the chocolates. Pamela says the chocolates are in the [MASK] drawer.",Deception,Real,2,1,1,Explicit
2,chocolates,Pamela,Sean,top,bottom,"It is Pamela's birthday, and their auntie pops in to give them a box of chocolates. Pamela puts the chocolates in the top drawer for safe-keeping. A few minutes later, Pamela's greedy sibling Sean comes in and asks Pamela: “Where have you put your chocolates, in your top drawer or your bottom drawer?” Pamela does not want Sean to find the chocolates. Pamela says the chocolates are in the [MASK] drawer.",Deception,Real,2,1,1,Explicit
3,chocolates,Pamela,Sean,bottom,top,"It is Pamela's birthday, and their auntie pops in to give them a box of chocolates. Pamela puts the chocolates in the bottom drawer for safe-keeping. A few minutes later, Pamela's greedy sibling Sean comes in and asks Pamela: “Where have you put your chocolates, in your bottom drawer or your top drawer?” Pamela does not want Sean to find the chocolates. Pamela says the chocolates are in the [MASK] drawer.",Deception,Real,2,1,1,Explicit
4,chocolates,Ben,Lisa,top,bottom,"It is Ben's birthday, and their auntie pops in to give them a box of chocolates. Ben puts the chocolates in the top drawer for safe-keeping. A few minutes later, Ben's greedy sibling Lisa comes in and asks Ben: “Where have you put your chocolates, in your top drawer or your bottom drawer?” Ben does not want Lisa to find the chocolates. Ben says the chocolates are in the [MASK] drawer.",Deception,Real,2,1,1,Explicit
5,chocolates,Ben,Lisa,bottom,top,"It is Ben's birthday, and their auntie pops in to give them a box of chocolates. Ben puts the chocolates in the bottom drawer for safe-keeping. A few minutes later, Ben's greedy sibling Lisa comes in and asks Ben: “Where have you put your chocolates, in your bottom drawer or your top drawer?” Ben does not want Lisa to find the chocolates. Ben says the chocolates are in the [MASK] drawer.",Deception,Real,2,1,1,Explicit
6,chocolates,Ben,Sean,top,bottom,"It is Ben's birthday, and their auntie pops in to give them a box of chocolates. Ben puts the chocolates in the top drawer for safe-keeping. A few minutes later, Ben's greedy sibling Sean comes in and asks Ben: “Where have you put your chocolates, in your top drawer or your bottom drawer?” Ben does not want Sean to find the chocolates. Ben says the chocolates are in the [MASK] drawer.",Deception,Real,2,1,1,Explicit
7,chocolates,Ben,Sean,bottom,top,"It is Ben's birthday, and their auntie pops in to give them a box of chocolates. Ben puts the chocolates in the bottom drawer for safe-keeping. A few minutes later, Ben's greedy sibling Sean comes in and asks Ben: “Where have you put your chocolates, in your bottom drawer or your top drawer?” Ben does not want Sean to find the chocolates. Ben says the chocolates are in the [MASK] drawer.",Deception,Real,2,1,1,Explicit
8,sweets,Tyler,Catherine,top,bottom,"It is Tyler's birthday, and their auntie pops in to give them a box of sweets. Tyler puts the sweets in the top drawer for safe-keeping. A few minutes later, Tyler's greedy sibling Catherine comes in and asks Tyler: “Where have you put your sweets, in your top drawer or your bottom drawer?” Tyler does not want Catherine to find the sweets. Tyler says the sweets are in the [MASK] drawer.",Deception,Real,2,1,1,Explicit
9,sweets,Tyler,Catherine,bottom,top,"It is Tyler's birthday, and their auntie pops in to give them a box of sweets. Tyler puts the sweets in the bottom drawer for safe-keeping. A few minutes later, Tyler's greedy sibling Catherine comes in and asks Tyler: “Where have you put your sweets, in your bottom drawer or your top drawer?” Tyler does not want Catherine to find the sweets. Tyler says the sweets are in the [MASK] drawer.",Deception,Real,2,1,1,Explicit
10,sweets,Tyler,Marta,top,bottom,"It is Tyler's birthday, and their auntie pops in to give them a box of sweets. Tyler puts the sweets in the top drawer for safe-keeping. A few minutes later, Tyler's greedy sibling Marta comes in and asks Tyler: “Where have you put your sweets, in your top drawer or your bottom drawer?” Tyler does not want Marta to find the sweets. Tyler says the sweets are in the [MASK] drawer.",Deception,Real,2,1,1,Explicit
11,sweets,Tyler,Marta,bottom,top,"It is Tyler's birthday, and their auntie pops in to give them a box of sweets. Tyler puts the sweets in the bottom drawer for safe-keeping. A few minutes later, Tyler's greedy sibling Marta comes in and asks Tyler: “Where have you put your sweets, in your bottom drawer or your top drawer?” Tyler does not want Marta to find the sweets. Tyler says the sweets are in the [MASK] drawer.",Deception,Real,2,1,1,Explicit
12,sweets,Ben,Emily,top,bottom,"It is Ben's birthday, and their auntie pops in to give them a box of sweets. Ben puts the sweets in the top drawer for safe-keeping. A few minutes later, Ben's greedy sibling Emily comes in and asks Ben: “Where have you put your sweets, in your top drawer or your bottom drawer?” Ben does not want Emily to find the sweets. Ben says the sweets are in the [MASK] drawer.",Deception,Real,2,1,1,Explicit
13,sweets,Ben,Emily,bottom,top,"It is Ben's birthday, and their auntie pops in to give them a box of sweets. Ben puts the sweets in the bottom drawer for safe-keeping. A few minutes later, Ben's greedy sibling Emily comes in and asks Ben: “Where have you put your sweets, in your bottom drawer or your top drawer?” Ben does not want Emily to find the sweets. Ben says the sweets are in the [MASK] drawer.",Deception,Real,2,1,1,Explicit
14,sweets,Ben,Antonio,top,bottom,"It is Ben's birthday, and their auntie pops in to give them a box of sweets. Ben puts the sweets in the top drawer for safe-keeping. A few minutes later, Ben's greedy sibling Antonio comes in and asks Ben: “Where have you put your sweets, in your top drawer or your bottom drawer?” Ben does not want Antonio to find the sweets. Ben says the sweets are in the [MASK] drawer.",Deception,Real,2,1,1,Explicit
15,sweets,Ben,Antonio,bottom,top,"It is Ben's birthday, and their auntie pops in to give them a box of sweets. Ben puts the sweets in the bottom drawer for safe-keeping. A few minutes later, Ben's greedy sibling Antonio comes in and asks Ben: “Where have you put your sweets, in your bottom drawer or your top drawer?” Ben does not want Antonio to find the sweets. Ben says the sweets are in the [MASK] drawer.",Deception,Real,2,1,1,Explicit
16,candy,Marta,Pamela,top,bottom,"It is Marta's birthday, and their auntie pops in to give them a box of candy. Marta puts the candy in the top drawer for safe-keeping. A few minutes later, Marta's greedy sibling Pamela comes in and asks Marta: “Where have you put your candy, in your top drawer or your bottom drawer?” Marta does not want Pamela to find the candy. Marta says the candy are in the [MASK] drawer.",Deception,Real,2,1,1,Explicit
17,candy,Marta,Pamela,bottom,top,"It is Marta's birthday, and their auntie pops in to give them a box of candy. Marta puts the candy in the bottom drawer for safe-keeping. A few minutes later, Marta's greedy sibling Pamela comes in and asks Marta: “Where have you put your candy, in your bottom drawer or your top drawer?” Marta does not want Pamela to find the candy. Marta says the candy are in the [MASK] drawer.",Deception,Real,2,1,1,Explicit
18,candy,Marta,Tyler,top,bottom,"It is Marta's birthday, and their auntie pops in to give them a box of candy. Marta puts the candy in the top drawer for safe-keeping. A few minutes later, Marta's greedy sibling Tyler comes in and asks Marta: “Where have you put your candy, in your top drawer or your bottom drawer?” Marta does not want Tyler to find the candy. Marta says the candy are in the [MASK] drawer.",Deception,Real,2,1,1,Explicit
