,item,a,b,start,end,passage,condition,first_mention,mentions_start,mentions_end,stim_number,knowledge_cue
0,book,Marta,Ben,bed,table,"Marta is reading a book. When Marta is done, Marta puts the book on the bed. Marta leaves to get something to eat in the kitchen. Ben comes in and moves the book from the bed to a table. Then Marta comes back into the room. Marta thinks the book is on the [MASK] .",False belief,Start,2,1,1,Explicit
1,book,Marta,Ben,table,bed,"Marta is reading a book. When Marta is done, Marta puts the book on the table. Marta leaves to get something to eat in the kitchen. Ben comes in and moves the book from the table to a bed. Then Marta comes back into the room. Marta thinks the book is on the [MASK] .",False belief,Start,2,1,1,Explicit
2,book,Marta,Ben,table,desk,"Marta is reading a book. When Marta is done, Marta puts the book on the table. Marta leaves to get something to eat in the kitchen. Ben comes in and moves the book from the table to a desk. Then Marta comes back into the room. Marta thinks the book is on the [MASK] .",False belief,Start,2,1,1,Explicit
3,book,Marta,Ben,desk,table,"Marta is reading a book. When Marta is done, Marta puts the book on the desk. Marta leaves to get something to eat in the kitchen. Ben comes in and moves the book from the desk to a table. Then Marta comes back into the room. Marta thinks the book is on the [MASK] .",False belief,Start,2,1,1,Explicit
4,book,Marta,Ben,desk,bed,"Marta is reading a book. When Marta is done, Marta puts the book on the desk. Marta leaves to get something to eat in the kitchen. Ben comes in and moves the book from the desk to a bed. Then Marta comes back into the room. Marta thinks the book is on the [MASK] .",False belief,Start,2,1,1,Explicit
5,book,Marta,Ben,bed,desk,"Marta is reading a book. When Marta is done, Marta puts the book on the bed. Marta leaves to get something to eat in the kitchen. Ben comes in and moves the book from the bed to a desk. Then Marta comes back into the room. Marta thinks the book is on the [MASK] .",False belief,Start,2,1,1,Explicit
6,book,Marta,James,bed,table,"Marta is reading a book. When Marta is done, Marta puts the book on the bed. Marta leaves to get something to eat in the kitchen. James comes in and moves the book from the bed to a table. Then Marta comes back into the room. Marta thinks the book is on the [MASK] .",False belief,Start,2,1,1,Explicit
7,book,Marta,James,table,bed,"Marta is reading a book. When Marta is done, Marta puts the book on the table. Marta leaves to get something to eat in the kitchen. James comes in and moves the book from the table to a bed. Then Marta comes back into the room. Marta thinks the book is on the [MASK] .",False belief,Start,2,1,1,Explicit
8,book,Marta,James,table,desk,"Marta is reading a book. When Marta is done, Marta puts the book on the table. Marta leaves to get something to eat in the kitchen. James comes in and moves the book from the table to a desk. Then Marta comes back into the room. Marta thinks the book is on the [MASK] .",False belief,Start,2,1,1,Explicit
9,book,Marta,James,desk,table,"Marta is reading a book. When Marta is done, Marta puts the book on the desk. Marta leaves to get something to eat in the kitchen. James comes in and moves the book from the desk to a table. Then Marta comes back into the room. Marta thinks the book is on the [MASK] .",False belief,Start,2,1,1,Explicit
10,book,Marta,James,desk,bed,"Marta is reading a book. When Marta is done, Marta puts the book on the desk. Marta leaves to get something to eat in the kitchen. James comes in and moves the book from the desk to a bed. Then Marta comes back into the room. Marta thinks the book is on the [MASK] .",False belief,Start,2,1,1,Explicit
11,book,Marta,James,bed,desk,"Marta is reading a book. When Marta is done, Marta puts the book on the bed. Marta leaves to get something to eat in the kitchen. James comes in and moves the book from the bed to a desk. Then Marta comes back into the room. Marta thinks the book is on the [MASK] .",False belief,Start,2,1,1,Explicit
12,book,Tyler,Emily,bed,table,"Tyler is reading a book. When Tyler is done, Tyler puts the book on the bed. Tyler leaves to get something to eat in the kitchen. Emily comes in and moves the book from the bed to a table. Then Tyler comes back into the room. Tyler thinks the book is on the [MASK] .",False belief,Start,2,1,1,Explicit
13,book,Tyler,Emily,table,bed,"Tyler is reading a book. When Tyler is done, Tyler puts the book on the table. Tyler leaves to get something to eat in the kitchen. Emily comes in and moves the book from the table to a bed. Then Tyler comes back into the room. Tyler thinks the book is on the [MASK] .",False belief,Start,2,1,1,Explicit
14,book,Tyler,Emily,table,desk,"Tyler is reading a book. When Tyler is done, Tyler puts the book on the table. Tyler leaves to get something to eat in the kitchen. Emily comes in and moves the book from the table to a desk. Then Tyler comes back into the room. Tyler thinks the book is on the [MASK] .",False belief,Start,2,1,1,Explicit
