Item,Condition,Condition code,Scenario
1,1,TB-C,"Janet unpacked the belongings and put the painting in the hall.  Later, Janet saw Barry move the painting to the kitchen. When Janet wanted to see the painting she looked in the kitchen."
1,2,TB-IC,"Janet unpacked the belongings and put the painting in the hall.  Later, Janet saw Barry move the painting to the kitchen. When Janet wanted to see the painting she looked in the hall."
1,3,FB-C,"Janet unpacked the belongings and put the painting in the hall.  While Janet was busy, Barry moved the painting to the kitchen. When Janet wanted to see the painting she looked in the hall."
1,4,FB-IC,"Janet unpacked the belongings and put the painting in the hall.  While Janet was busy, Barry moved the painting to the kitchen. When Janet wanted to see the painting she looked in the kitchen."
2,1,TB-C,"Mary planted all her seeds in trays and put them in the greenhouse.  Later, Mary spotted her husband move the plants to the garage. When Mary wanted to look at her plants she looked in the garage."
2,2,TB-IC,"Mary planted all her seeds in trays and put them in the greenhouse.  Later, Mary spotted her husband move the plants to the garage. When Mary wanted to look at her plants she looked in the greenhouse."
2,3,FB-C,"Mary planted all her seeds in trays and put them in the greenhouse.  While Mary was distracted, her husband moved the plants to the garage. When Mary wanted to look at her plants she looked in the greenhouse."
2,4,FB-IC,"Mary planted all her seeds in trays and put them in the greenhouse.  While Mary was distracted, her husband moved the plants to the garage. When Mary wanted to look at her plants she looked in the garage."
3,1,TB-C,"Joanne folded the clean clothes and put them into the lounge.  Later, Joanne saw Alex move the clothes to the study. When Joanne wanted to iron the clothes she looked in the study."
3,2,TB-IC,"Joanne folded the clean clothes and put them into the lounge.  Later, Joanne saw Alex move the clothes to the study. When Joanne wanted to iron the clothes she looked in the lounge."
3,3,FB-C,"Joanne folded the clean clothes and put them into the lounge.  But while Joanne was cooking, Alex moved the clothes to the study. When Joanne wanted to iron the clothes she looked in the lounge."
3,4,FB-IC,"Joanne folded the clean clothes and put them into the lounge.  But while Joanne was cooking, Alex moved the clothes to the study. When Joanne wanted to iron the clothes she looked in the study."
4,1,TB-C,"John washed the dishes after his breakfast and left his watch in the kitchen.  Later, John noticed Victoria move the watch to the bedroom. When John wanted to find his watch he looked in the bedroom."
4,2,TB-IC,"John washed the dishes after his breakfast and left his watch in the kitchen.  Later, John noticed Victoria move the watch to the bedroom. When John wanted to find his watch he looked in the kitchen."
4,3,FB-C,"John washed the dishes after his breakfast and left his watch in the kitchen.  While John was dressing, Victoria moved the watch to the bedroom. When John wanted to find his watch he looked in the kitchen."
4,4,FB-IC,"John washed the dishes after his breakfast and left his watch in the kitchen.  While John was dressing, Victoria moved the watch to the bedroom. When John wanted to find his watch he looked in the bedroom."
5,1,TB-C,"Mum bought the Christmas presents and hid them all in the bedroom.  Later, Mum watched Dad move the presents to the loft. When Mum wanted to see the presents again she looked in the loft."
5,2,TB-IC,"Mum bought the Christmas presents and hid them all in the bedroom.  Later, Mum watched Dad move the presents to the loft. When Mum wanted to see the presents again she looked in the bedroom."
5,3,FB-C,"Mum bought the Christmas presents and hid them all in the bedroom.  While Mum was busy, Dad moved the presents to the loft. When Mum wanted to see the presents again she looked in the bedroom."
5,4,FB-IC,"Mum bought the Christmas presents and hid them all in the bedroom.  While Mum was busy, Dad moved the presents to the loft. When Mum wanted to see the presents again she looked in the loft."
6,1,TB-C,"Kevin returned shops and put the chocolate in the fridge.  Later, Kevin noticed Jessica move the chocolate to her handbag. When Kevin wanted to eat the chocolate he looked in the handbag."
6,2,TB-IC,"Kevin returned shops and put the chocolate in the fridge.  Later, Kevin noticed Jessica move the chocolate to her handbag. When Kevin wanted to eat the chocolate he looked in the fridge."
6,3,FB-C,"Kevin returned shops and put the chocolate in the fridge.  While Kevin was out, Jessica moved the chocolate to her handbag. When Kevin wanted to eat the chocolate he looked in the fridge."
6,4,FB-IC,"Kevin returned shops and put the chocolate in the fridge.  While Kevin was out, Jessica moved the chocolate to her handbag. When Kevin wanted to eat the chocolate he looked in the handbag."
7,1,TB-C,"Margaret washed her favourite shirt and hung it out to dry in the garden.  Later, Margaret spotted Russell move the shirt to the hall. When Margaret wanted to find the shirt she looked in the hall."
7,2,TB-IC,"Margaret washed her favourite shirt and hung it out to dry in the garden.  Later, Margaret spotted Russell move the shirt to the hall. When Margaret wanted to find the shirt she looked in the garden."
