,Item,Condition,Condition code,Scenario,Modified,First_mention,Recent_mention,prior_mentions_start,prior_mentions_end,num_sentences
0,1,1,TB-C,"Janet unpacked the belongings and put the painting in the hall.  Later, Janet saw Barry move the painting to the kitchen. When Janet wanted to see the painting she looked in the kitchen.",No,Start,End,1,1,3
1,1,1,TB-C,"Janet passed by the kitchen. Janet unpacked the belongings and put the painting in the hall.  Later, Janet saw Barry move the painting to the kitchen. When Janet wanted to see the painting she looked in the kitchen.",Yes,End,End,1,2,4
2,1,1,TB-C,"Janet passed by the hall. Janet unpacked the belongings and put the painting in the hall.  Later, Janet saw Barry move the painting to the kitchen. When Janet wanted to see the painting she looked in the kitchen.",Yes,Start,End,2,1,4
3,1,1,TB-C,"Janet unpacked the belongings and put the painting in the hall.  Later, Janet saw Barry move the painting to the kitchen. Janet was near the hall. When Janet wanted to see the painting she looked in the kitchen.",Yes,Start,Start,2,1,4
4,1,1,TB-C,"Janet unpacked the belongings and put the painting in the hall.  Later, Janet saw Barry move the painting to the kitchen. Janet was near the kitchen. When Janet wanted to see the painting she looked in the kitchen.",Yes,Start,End,1,2,4
5,1,2,TB-IC,"Janet unpacked the belongings and put the painting in the hall.  Later, Janet saw Barry move the painting to the kitchen. When Janet wanted to see the painting she looked in the hall.",No,Start,End,1,1,3
6,1,2,TB-IC,"Janet passed by the kitchen. Janet unpacked the belongings and put the painting in the hall.  Later, Janet saw Barry move the painting to the kitchen. When Janet wanted to see the painting she looked in the hall.",Yes,End,End,1,2,4
7,1,2,TB-IC,"Janet passed by the hall. Janet unpacked the belongings and put the painting in the hall.  Later, Janet saw Barry move the painting to the kitchen. When Janet wanted to see the painting she looked in the hall.",Yes,Start,End,2,1,4
8,1,2,TB-IC,"Janet unpacked the belongings and put the painting in the hall.  Later, Janet saw Barry move the painting to the kitchen. Janet was near the hall. When Janet wanted to see the painting she looked in the hall.",Yes,Start,Start,2,1,4
9,1,2,TB-IC,"Janet unpacked the belongings and put the painting in the hall.  Later, Janet saw Barry move the painting to the kitchen. Janet was near the kitchen. When Janet wanted to see the painting she looked in the hall.",Yes,Start,End,1,2,4
10,1,3,FB-C,"Janet unpacked the belongings and put the painting in the hall.  While Janet was busy, Barry moved the painting to the kitchen. When Janet wanted to see the painting she looked in the hall.",No,Start,End,1,1,3
11,1,3,FB-C,"Janet passed by the kitchen. Janet unpacked the belongings and put the painting in the hall.  While Janet was busy, Barry moved the painting to the kitchen. When Janet wanted to see the painting she looked in the hall.",Yes,End,End,1,2,4
12,1,3,FB-C,"Janet passed by the hall. Janet unpacked the belongings and put the painting in the hall.  While Janet was busy, Barry moved the painting to the kitchen. When Janet wanted to see the painting she looked in the hall.",Yes,Start,End,2,1,4
13,1,3,FB-C,"Janet unpacked the belongings and put the painting in the hall.  While Janet was busy, Barry moved the painting to the kitchen. Janet was near the hall. When Janet wanted to see the painting she looked in the hall.",Yes,Start,Start,2,1,4
14,1,3,FB-C,"Janet unpacked the belongings and put the painting in the hall.  While Janet was busy, Barry moved the painting to the kitchen. Janet was near the kitchen. When Janet wanted to see the painting she looked in the hall.",Yes,Start,End,1,2,4
15,1,4,FB-IC,"Janet unpacked the belongings and put the painting in the hall.  While Janet was busy, Barry moved the painting to the kitchen. When Janet wanted to see the painting she looked in the kitchen.",No,Start,End,1,1,3
16,1,4,FB-IC,"Janet passed by the kitchen. Janet unpacked the belongings and put the painting in the hall.  While Janet was busy, Barry moved the painting to the kitchen. When Janet wanted to see the painting she looked in the kitchen.",Yes,End,End,1,2,4
17,1,4,FB-IC,"Janet passed by the hall. Janet unpacked the belongings and put the painting in the hall.  While Janet was busy, Barry moved the painting to the kitchen. When Janet wanted to see the painting she looked in the kitchen.",Yes,Start,End,2,1,4
18,1,4,FB-IC,"Janet unpacked the belongings and put the painting in the hall.  While Janet was busy, Barry moved the painting to the kitchen. Janet was near the hall. When Janet wanted to see the painting she looked in the kitchen.",Yes,Start,Start,2,1,4
19,1,4,FB-IC,"Janet unpacked the belongings and put the painting in the hall.  While Janet was busy, Barry moved the painting to the kitchen. Janet was near the kitchen. When Janet wanted to see the painting she looked in the kitchen.",Yes,Start,End,1,2,4
20,2,1,TB-C,"Mary planted all her seeds in trays and put them in the greenhouse.  Later, Mary spotted her husband move the plants to the garage. When Mary wanted to look at her plants she looked in the garage.",No,Start,End,1,1,3
