,Unnamed: 0,item,a,b,start,end,passage,condition,first_mention,mentions_start,mentions_end,stim_number,knowledge_cue,log_odds
0,0,book,Marta,Ben,bed,table,"Marta is reading a book. When Marta is done, Marta puts the book on the bed. Marta leaves to get something to eat in the kitchen. Ben comes in and moves the book from the bed to a table. Then Marta comes back into the room. Marta thinks the book is on the [MASK] .",False belief,Start,2,1,1,Explicit,5.2280254828745445
1,1,book,Marta,Ben,table,bed,"Marta is reading a book. When Marta is done, Marta puts the book on the table. Marta leaves to get something to eat in the kitchen. Ben comes in and moves the book from the table to a bed. Then Marta comes back into the room. Marta thinks the book is on the [MASK] .",False belief,Start,2,1,1,Explicit,4.290877362593531
2,2,book,Marta,Ben,table,desk,"Marta is reading a book. When Marta is done, Marta puts the book on the table. Marta leaves to get something to eat in the kitchen. Ben comes in and moves the book from the table to a desk. Then Marta comes back into the room. Marta thinks the book is on the [MASK] .",False belief,Start,2,1,1,Explicit,7.487210180499176
3,3,book,Marta,Ben,desk,table,"Marta is reading a book. When Marta is done, Marta puts the book on the desk. Marta leaves to get something to eat in the kitchen. Ben comes in and moves the book from the desk to a table. Then Marta comes back into the room. Marta thinks the book is on the [MASK] .",False belief,Start,2,1,1,Explicit,1.6249798917678535
4,4,book,Marta,Ben,desk,bed,"Marta is reading a book. When Marta is done, Marta puts the book on the desk. Marta leaves to get something to eat in the kitchen. Ben comes in and moves the book from the desk to a bed. Then Marta comes back into the room. Marta thinks the book is on the [MASK] .",False belief,Start,2,1,1,Explicit,2.055029883438379
5,5,book,Marta,Ben,bed,desk,"Marta is reading a book. When Marta is done, Marta puts the book on the bed. Marta leaves to get something to eat in the kitchen. Ben comes in and moves the book from the bed to a desk. Then Marta comes back into the room. Marta thinks the book is on the [MASK] .",False belief,Start,2,1,1,Explicit,7.16449933395476
6,6,book,Marta,James,bed,table,"Marta is reading a book. When Marta is done, Marta puts the book on the bed. Marta leaves to get something to eat in the kitchen. James comes in and moves the book from the bed to a table. Then Marta comes back into the room. Marta thinks the book is on the [MASK] .",False belief,Start,2,1,1,Explicit,5.239883408155619
7,7,book,Marta,James,table,bed,"Marta is reading a book. When Marta is done, Marta puts the book on the table. Marta leaves to get something to eat in the kitchen. James comes in and moves the book from the table to a bed. Then Marta comes back into the room. Marta thinks the book is on the [MASK] .",False belief,Start,2,1,1,Explicit,4.331003151990265
8,8,book,Marta,James,table,desk,"Marta is reading a book. When Marta is done, Marta puts the book on the table. Marta leaves to get something to eat in the kitchen. James comes in and moves the book from the table to a desk. Then Marta comes back into the room. Marta thinks the book is on the [MASK] .",False belief,Start,2,1,1,Explicit,7.484666386057912
9,9,book,Marta,James,desk,table,"Marta is reading a book. When Marta is done, Marta puts the book on the desk. Marta leaves to get something to eat in the kitchen. James comes in and moves the book from the desk to a table. Then Marta comes back into the room. Marta thinks the book is on the [MASK] .",False belief,Start,2,1,1,Explicit,1.4231491301537655
10,10,book,Marta,James,desk,bed,"Marta is reading a book. When Marta is done, Marta puts the book on the desk. Marta leaves to get something to eat in the kitchen. James comes in and moves the book from the desk to a bed. Then Marta comes back into the room. Marta thinks the book is on the [MASK] .",False belief,Start,2,1,1,Explicit,1.5088872589069782
11,11,book,Marta,James,bed,desk,"Marta is reading a book. When Marta is done, Marta puts the book on the bed. Marta leaves to get something to eat in the kitchen. James comes in and moves the book from the bed to a desk. Then Marta comes back into the room. Marta thinks the book is on the [MASK] .",False belief,Start,2,1,1,Explicit,7.162319160329362
12,12,book,Tyler,Emily,bed,table,"Tyler is reading a book. When Tyler is done, Tyler puts the book on the bed. Tyler leaves to get something to eat in the kitchen. Emily comes in and moves the book from the bed to a table. Then Tyler comes back into the room. Tyler thinks the book is on the [MASK] .",False belief,Start,2,1,1,Explicit,6.452321020795223
13,13,book,Tyler,Emily,table,bed,"Tyler is reading a book. When Tyler is done, Tyler puts the book on the table. Tyler leaves to get something to eat in the kitchen. Emily comes in and moves the book from the table to a bed. Then Tyler comes back into the room. Tyler thinks the book is on the [MASK] .",False belief,Start,2,1,1,Explicit,4.515079574488522
14,14,book,Tyler,Emily,table,desk,"Tyler is reading a book. When Tyler is done, Tyler puts the book on the table. Tyler leaves to get something to eat in the kitchen. Emily comes in and moves the book from the table to a desk. Then Tyler comes back into the room. Tyler thinks the book is on the [MASK] .",False belief,Start,2,1,1,Explicit,7.2508477989752445
15,15,book,Tyler,Emily,desk,table,"Tyler is reading a book. When Tyler is done, Tyler puts the book on the desk. Tyler leaves to get something to eat in the kitchen. Emily comes in and moves the book from the desk to a table. Then Tyler comes back into the room. Tyler thinks the book is on the [MASK] .",False belief,Start,2,1,1,Explicit,3.4144668377221334
16,16,book,Tyler,Emily,desk,bed,"Tyler is reading a book. When Tyler is done, Tyler puts the book on the desk. Tyler leaves to get something to eat in the kitchen. Emily comes in and moves the book from the desk to a bed. Then Tyler comes back into the room. Tyler thinks the book is on the [MASK] .",False belief,Start,2,1,1,Explicit,2.936536800261554
17,17,book,Tyler,Emily,bed,desk,"Tyler is reading a book. When Tyler is done, Tyler puts the book on the bed. Tyler leaves to get something to eat in the kitchen. Emily comes in and moves the book from the bed to a desk. Then Tyler comes back into the room. Tyler thinks the book is on the [MASK] .",False belief,Start,2,1,1,Explicit,7.182964319327307
18,18,book,Tyler,Pamela,bed,table,"Tyler is reading a book. When Tyler is done, Tyler puts the book on the bed. Tyler leaves to get something to eat in the kitchen. Pamela comes in and moves the book from the bed to a table. Then Tyler comes back into the room. Tyler thinks the book is on the [MASK] .",False belief,Start,2,1,1,Explicit,6.471672484399287
19,19,book,Tyler,Pamela,table,bed,"Tyler is reading a book. When Tyler is done, Tyler puts the book on the table. Tyler leaves to get something to eat in the kitchen. Pamela comes in and moves the book from the table to a bed. Then Tyler comes back into the room. Tyler thinks the book is on the [MASK] .",False belief,Start,2,1,1,Explicit,5.079813016686024
20,20,book,Tyler,Pamela,table,desk,"Tyler is reading a book. When Tyler is done, Tyler puts the book on the table. Tyler leaves to get something to eat in the kitchen. Pamela comes in and moves the book from the table to a desk. Then Tyler comes back into the room. Tyler thinks the book is on the [MASK] .",False belief,Start,2,1,1,Explicit,7.779332162852895
21,21,book,Tyler,Pamela,desk,table,"Tyler is reading a book. When Tyler is done, Tyler puts the book on the desk. Tyler leaves to get something to eat in the kitchen. Pamela comes in and moves the book from the desk to a table. Then Tyler comes back into the room. Tyler thinks the book is on the [MASK] .",False belief,Start,2,1,1,Explicit,2.9413976409855795
22,22,book,Tyler,Pamela,desk,bed,"Tyler is reading a book. When Tyler is done, Tyler puts the book on the desk. Tyler leaves to get something to eat in the kitchen. Pamela comes in and moves the book from the desk to a bed. Then Tyler comes back into the room. Tyler thinks the book is on the [MASK] .",False belief,Start,2,1,1,Explicit,2.7867956251552357
23,23,book,Tyler,Pamela,bed,desk,"Tyler is reading a book. When Tyler is done, Tyler puts the book on the bed. Tyler leaves to get something to eat in the kitchen. Pamela comes in and moves the book from the bed to a desk. Then Tyler comes back into the room. Tyler thinks the book is on the [MASK] .",False belief,Start,2,1,1,Explicit,7.835352896236413
24,24,magazine,Emily,Pamela,bed,table,"Emily is reading a magazine. When Emily is done, Emily puts the magazine on the bed. Emily leaves to get something to eat in the kitchen. Pamela comes in and moves the magazine from the bed to a table. Then Emily comes back into the room. Emily thinks the magazine is on the [MASK] .",False belief,Start,2,1,1,Explicit,3.8985833497879825
25,25,magazine,Emily,Pamela,table,bed,"Emily is reading a magazine. When Emily is done, Emily puts the magazine on the table. Emily leaves to get something to eat in the kitchen. Pamela comes in and moves the magazine from the table to a bed. Then Emily comes back into the room. Emily thinks the magazine is on the [MASK] .",False belief,Start,2,1,1,Explicit,5.217103939049049
26,26,magazine,Emily,Pamela,table,desk,"Emily is reading a magazine. When Emily is done, Emily puts the magazine on the table. Emily leaves to get something to eat in the kitchen. Pamela comes in and moves the magazine from the table to a desk. Then Emily comes back into the room. Emily thinks the magazine is on the [MASK] .",False belief,Start,2,1,1,Explicit,8.97468758447015
27,27,magazine,Emily,Pamela,desk,table,"Emily is reading a magazine. When Emily is done, Emily puts the magazine on the desk. Emily leaves to get something to eat in the kitchen. Pamela comes in and moves the magazine from the desk to a table. Then Emily comes back into the room. Emily thinks the magazine is on the [MASK] .",False belief,Start,2,1,1,Explicit,0.675650572040188
28,28,magazine,Emily,Pamela,desk,bed,"Emily is reading a magazine. When Emily is done, Emily puts the magazine on the desk. Emily leaves to get something to eat in the kitchen. Pamela comes in and moves the magazine from the desk to a bed. Then Emily comes back into the room. Emily thinks the magazine is on the [MASK] .",False belief,Start,2,1,1,Explicit,1.8507422466304142
29,29,magazine,Emily,Pamela,bed,desk,"Emily is reading a magazine. When Emily is done, Emily puts the magazine on the bed. Emily leaves to get something to eat in the kitchen. Pamela comes in and moves the magazine from the bed to a desk. Then Emily comes back into the room. Emily thinks the magazine is on the [MASK] .",False belief,Start,2,1,1,Explicit,7.739335518561102
30,30,magazine,Emily,Marta,bed,table,"Emily is reading a magazine. When Emily is done, Emily puts the magazine on the bed. Emily leaves to get something to eat in the kitchen. Marta comes in and moves the magazine from the bed to a table. Then Emily comes back into the room. Emily thinks the magazine is on the [MASK] .",False belief,Start,2,1,1,Explicit,4.31811326964604
31,31,magazine,Emily,Marta,table,bed,"Emily is reading a magazine. When Emily is done, Emily puts the magazine on the table. Emily leaves to get something to eat in the kitchen. Marta comes in and moves the magazine from the table to a bed. Then Emily comes back into the room. Emily thinks the magazine is on the [MASK] .",False belief,Start,2,1,1,Explicit,5.51260667451229
32,32,magazine,Emily,Marta,table,desk,"Emily is reading a magazine. When Emily is done, Emily puts the magazine on the table. Emily leaves to get something to eat in the kitchen. Marta comes in and moves the magazine from the table to a desk. Then Emily comes back into the room. Emily thinks the magazine is on the [MASK] .",False belief,Start,2,1,1,Explicit,9.182962413450285
33,33,magazine,Emily,Marta,desk,table,"Emily is reading a magazine. When Emily is done, Emily puts the magazine on the desk. Emily leaves to get something to eat in the kitchen. Marta comes in and moves the magazine from the desk to a table. Then Emily comes back into the room. Emily thinks the magazine is on the [MASK] .",False belief,Start,2,1,1,Explicit,1.034247343435823
34,34,magazine,Emily,Marta,desk,bed,"Emily is reading a magazine. When Emily is done, Emily puts the magazine on the desk. Emily leaves to get something to eat in the kitchen. Marta comes in and moves the magazine from the desk to a bed. Then Emily comes back into the room. Emily thinks the magazine is on the [MASK] .",False belief,Start,2,1,1,Explicit,1.8354520615174061
35,35,magazine,Emily,Marta,bed,desk,"Emily is reading a magazine. When Emily is done, Emily puts the magazine on the bed. Emily leaves to get something to eat in the kitchen. Marta comes in and moves the magazine from the bed to a desk. Then Emily comes back into the room. Emily thinks the magazine is on the [MASK] .",False belief,Start,2,1,1,Explicit,7.566397718865992
36,36,magazine,Antonio,Emily,bed,table,"Antonio is reading a magazine. When Antonio is done, Antonio puts the magazine on the bed. Antonio leaves to get something to eat in the kitchen. Emily comes in and moves the magazine from the bed to a table. Then Antonio comes back into the room. Antonio thinks the magazine is on the [MASK] .",False belief,Start,2,1,1,Explicit,5.361839770135736
37,37,magazine,Antonio,Emily,table,bed,"Antonio is reading a magazine. When Antonio is done, Antonio puts the magazine on the table. Antonio leaves to get something to eat in the kitchen. Emily comes in and moves the magazine from the table to a bed. Then Antonio comes back into the room. Antonio thinks the magazine is on the [MASK] .",False belief,Start,2,1,1,Explicit,6.854586526958484
38,38,magazine,Antonio,Emily,table,desk,"Antonio is reading a magazine. When Antonio is done, Antonio puts the magazine on the table. Antonio leaves to get something to eat in the kitchen. Emily comes in and moves the magazine from the table to a desk. Then Antonio comes back into the room. Antonio thinks the magazine is on the [MASK] .",False belief,Start,2,1,1,Explicit,9.608287782766531
39,39,magazine,Antonio,Emily,desk,table,"Antonio is reading a magazine. When Antonio is done, Antonio puts the magazine on the desk. Antonio leaves to get something to eat in the kitchen. Emily comes in and moves the magazine from the desk to a table. Then Antonio comes back into the room. Antonio thinks the magazine is on the [MASK] .",False belief,Start,2,1,1,Explicit,1.210536989986439
40,40,magazine,Antonio,Emily,desk,bed,"Antonio is reading a magazine. When Antonio is done, Antonio puts the magazine on the desk. Antonio leaves to get something to eat in the kitchen. Emily comes in and moves the magazine from the desk to a bed. Then Antonio comes back into the room. Antonio thinks the magazine is on the [MASK] .",False belief,Start,2,1,1,Explicit,3.2328615166118273
41,41,magazine,Antonio,Emily,bed,desk,"Antonio is reading a magazine. When Antonio is done, Antonio puts the magazine on the bed. Antonio leaves to get something to eat in the kitchen. Emily comes in and moves the magazine from the bed to a desk. Then Antonio comes back into the room. Antonio thinks the magazine is on the [MASK] .",False belief,Start,2,1,1,Explicit,8.429685576158521
42,42,magazine,Antonio,Sonja,bed,table,"Antonio is reading a magazine. When Antonio is done, Antonio puts the magazine on the bed. Antonio leaves to get something to eat in the kitchen. Sonja comes in and moves the magazine from the bed to a table. Then Antonio comes back into the room. Antonio thinks the magazine is on the [MASK] .",False belief,Start,2,1,1,Explicit,6.172095378372121
43,43,magazine,Antonio,Sonja,table,bed,"Antonio is reading a magazine. When Antonio is done, Antonio puts the magazine on the table. Antonio leaves to get something to eat in the kitchen. Sonja comes in and moves the magazine from the table to a bed. Then Antonio comes back into the room. Antonio thinks the magazine is on the [MASK] .",False belief,Start,2,1,1,Explicit,8.53432372771118
44,44,magazine,Antonio,Sonja,table,desk,"Antonio is reading a magazine. When Antonio is done, Antonio puts the magazine on the table. Antonio leaves to get something to eat in the kitchen. Sonja comes in and moves the magazine from the table to a desk. Then Antonio comes back into the room. Antonio thinks the magazine is on the [MASK] .",False belief,Start,2,1,1,Explicit,11.054497654988262
45,45,magazine,Antonio,Sonja,desk,table,"Antonio is reading a magazine. When Antonio is done, Antonio puts the magazine on the desk. Antonio leaves to get something to eat in the kitchen. Sonja comes in and moves the magazine from the desk to a table. Then Antonio comes back into the room. Antonio thinks the magazine is on the [MASK] .",False belief,Start,2,1,1,Explicit,0.7942562254939263
46,46,magazine,Antonio,Sonja,desk,bed,"Antonio is reading a magazine. When Antonio is done, Antonio puts the magazine on the desk. Antonio leaves to get something to eat in the kitchen. Sonja comes in and moves the magazine from the desk to a bed. Then Antonio comes back into the room. Antonio thinks the magazine is on the [MASK] .",False belief,Start,2,1,1,Explicit,2.4495048043817955
47,47,magazine,Antonio,Sonja,bed,desk,"Antonio is reading a magazine. When Antonio is done, Antonio puts the magazine on the bed. Antonio leaves to get something to eat in the kitchen. Sonja comes in and moves the magazine from the bed to a desk. Then Antonio comes back into the room. Antonio thinks the magazine is on the [MASK] .",False belief,Start,2,1,1,Explicit,9.251190237345723
48,48,book,Tyler,James,bed,table,"Tyler is reading a book. When Tyler is done, Tyler puts the book on the bed. James comes into the room. Tyler watches James move the book from the bed to a table. Tyler thinks the book is on the [MASK] .",True belief,Start,2,1,1,Explicit,2.467185052093289
49,49,book,Tyler,James,table,bed,"Tyler is reading a book. When Tyler is done, Tyler puts the book on the table. James comes into the room. Tyler watches James move the book from the table to a bed. Tyler thinks the book is on the [MASK] .",True belief,Start,2,1,1,Explicit,0.6720218548057171
50,50,book,Tyler,James,table,desk,"Tyler is reading a book. When Tyler is done, Tyler puts the book on the table. James comes into the room. Tyler watches James move the book from the table to a desk. Tyler thinks the book is on the [MASK] .",True belief,Start,2,1,1,Explicit,4.007287039743819
51,51,book,Tyler,James,desk,table,"Tyler is reading a book. When Tyler is done, Tyler puts the book on the desk. James comes into the room. Tyler watches James move the book from the desk to a table. Tyler thinks the book is on the [MASK] .",True belief,Start,2,1,1,Explicit,-0.24511140063022438
