,Unnamed: 0,Item,Condition,Condition code,Scenario,Modified,First_mention,Recent_mention,prior_mentions_start,prior_mentions_end,num_sentences,probability,belief,consistency,final_word,masked_passages
0,0,1,1,TB-C,"Janet unpacked the belongings and put the painting in the hall.  Later, Janet saw Barry move the painting to the kitchen. When Janet wanted to see the painting she looked in the kitchen.",No,Start,End,1,1,3,0.009171878919005392,TB,C,kitchen,"Janet unpacked the belongings and put the painting in the hall.  Later, Janet saw Barry move the painting to the kitchen. When Janet wanted to see the painting she looked in the [MASK] ."
1,1,1,1,TB-C,"Janet passed by the kitchen. Janet unpacked the belongings and put the painting in the hall.  Later, Janet saw Barry move the painting to the kitchen. When Janet wanted to see the painting she looked in the kitchen.",Yes,End,End,1,2,4,0.01810111850500107,TB,C,kitchen,"Janet passed by the kitchen. Janet unpacked the belongings and put the painting in the hall.  Later, Janet saw Barry move the painting to the kitchen. When Janet wanted to see the painting she looked in the [MASK] ."
2,2,1,1,TB-C,"Janet passed by the hall. Janet unpacked the belongings and put the painting in the hall.  Later, Janet saw Barry move the painting to the kitchen. When Janet wanted to see the painting she looked in the kitchen.",Yes,Start,End,2,1,4,0.0143779143691063,TB,C,kitchen,"Janet passed by the hall. Janet unpacked the belongings and put the painting in the hall.  Later, Janet saw Barry move the painting to the kitchen. When Janet wanted to see the painting she looked in the [MASK] ."
3,3,1,1,TB-C,"Janet unpacked the belongings and put the painting in the hall.  Later, Janet saw Barry move the painting to the kitchen. Janet was near the hall. When Janet wanted to see the painting she looked in the kitchen.",Yes,Start,Start,2,1,4,0.02094467543065548,TB,C,kitchen,"Janet unpacked the belongings and put the painting in the hall.  Later, Janet saw Barry move the painting to the kitchen. Janet was near the hall. When Janet wanted to see the painting she looked in the [MASK] ."
4,4,1,1,TB-C,"Janet unpacked the belongings and put the painting in the hall.  Later, Janet saw Barry move the painting to the kitchen. Janet was near the kitchen. When Janet wanted to see the painting she looked in the kitchen.",Yes,Start,End,1,2,4,0.22384180128574369,TB,C,kitchen,"Janet unpacked the belongings and put the painting in the hall.  Later, Janet saw Barry move the painting to the kitchen. Janet was near the kitchen. When Janet wanted to see the painting she looked in the [MASK] ."
5,5,1,2,TB-IC,"Janet unpacked the belongings and put the painting in the hall.  Later, Janet saw Barry move the painting to the kitchen. When Janet wanted to see the painting she looked in the hall.",No,Start,End,1,1,3,0.2861443758010864,TB,IC,hall,"Janet unpacked the belongings and put the painting in the hall.  Later, Janet saw Barry move the painting to the kitchen. When Janet wanted to see the painting she looked in the [MASK] ."
6,6,1,2,TB-IC,"Janet passed by the kitchen. Janet unpacked the belongings and put the painting in the hall.  Later, Janet saw Barry move the painting to the kitchen. When Janet wanted to see the painting she looked in the hall.",Yes,End,End,1,2,4,0.7675878405570984,TB,IC,hall,"Janet passed by the kitchen. Janet unpacked the belongings and put the painting in the hall.  Later, Janet saw Barry move the painting to the kitchen. When Janet wanted to see the painting she looked in the [MASK] ."
7,7,1,2,TB-IC,"Janet passed by the hall. Janet unpacked the belongings and put the painting in the hall.  Later, Janet saw Barry move the painting to the kitchen. When Janet wanted to see the painting she looked in the hall.",Yes,Start,End,2,1,4,0.775301992893219,TB,IC,hall,"Janet passed by the hall. Janet unpacked the belongings and put the painting in the hall.  Later, Janet saw Barry move the painting to the kitchen. When Janet wanted to see the painting she looked in the [MASK] ."
8,8,1,2,TB-IC,"Janet unpacked the belongings and put the painting in the hall.  Later, Janet saw Barry move the painting to the kitchen. Janet was near the hall. When Janet wanted to see the painting she looked in the hall.",Yes,Start,Start,2,1,4,0.7655696868896484,TB,IC,hall,"Janet unpacked the belongings and put the painting in the hall.  Later, Janet saw Barry move the painting to the kitchen. Janet was near the hall. When Janet wanted to see the painting she looked in the [MASK] ."
9,9,1,2,TB-IC,"Janet unpacked the belongings and put the painting in the hall.  Later, Janet saw Barry move the painting to the kitchen. Janet was near the kitchen. When Janet wanted to see the painting she looked in the hall.",Yes,Start,End,1,2,4,0.2973070442676545,TB,IC,hall,"Janet unpacked the belongings and put the painting in the hall.  Later, Janet saw Barry move the painting to the kitchen. Janet was near the kitchen. When Janet wanted to see the painting she looked in the [MASK] ."
