,Unnamed: 0,item,a,b,real,alt,passage,condition,first_mention,mentions_real,mentions_alt,stim_number,knowledge_cue,log_odds
0,0,chocolates,Pamela,Marta,top,bottom,"It is Pamela's birthday, and their auntie pops in to give them a box of chocolates. Pamela puts the chocolates in the top drawer for safe-keeping. A few minutes later, Pamela's greedy sibling Marta comes in and asks Pamela: “Where have you put your chocolates, in your top drawer or your bottom drawer?” Pamela does not want Marta to find the chocolates. Pamela says the chocolates are in the [MASK] drawer.",Deception,Real,2,1,1,Explicit,2.930887201599517
1,1,chocolates,Pamela,Marta,bottom,top,"It is Pamela's birthday, and their auntie pops in to give them a box of chocolates. Pamela puts the chocolates in the bottom drawer for safe-keeping. A few minutes later, Pamela's greedy sibling Marta comes in and asks Pamela: “Where have you put your chocolates, in your bottom drawer or your top drawer?” Pamela does not want Marta to find the chocolates. Pamela says the chocolates are in the [MASK] drawer.",Deception,Real,2,1,1,Explicit,4.708065963725604
2,2,chocolates,Pamela,Sean,top,bottom,"It is Pamela's birthday, and their auntie pops in to give them a box of chocolates. Pamela puts the chocolates in the top drawer for safe-keeping. A few minutes later, Pamela's greedy sibling Sean comes in and asks Pamela: “Where have you put your chocolates, in your top drawer or your bottom drawer?” Pamela does not want Sean to find the chocolates. Pamela says the chocolates are in the [MASK] drawer.",Deception,Real,2,1,1,Explicit,3.2560082181954466
3,3,chocolates,Pamela,Sean,bottom,top,"It is Pamela's birthday, and their auntie pops in to give them a box of chocolates. Pamela puts the chocolates in the bottom drawer for safe-keeping. A few minutes later, Pamela's greedy sibling Sean comes in and asks Pamela: “Where have you put your chocolates, in your bottom drawer or your top drawer?” Pamela does not want Sean to find the chocolates. Pamela says the chocolates are in the [MASK] drawer.",Deception,Real,2,1,1,Explicit,4.852888090163216
4,4,chocolates,Ben,Lisa,top,bottom,"It is Ben's birthday, and their auntie pops in to give them a box of chocolates. Ben puts the chocolates in the top drawer for safe-keeping. A few minutes later, Ben's greedy sibling Lisa comes in and asks Ben: “Where have you put your chocolates, in your top drawer or your bottom drawer?” Ben does not want Lisa to find the chocolates. Ben says the chocolates are in the [MASK] drawer.",Deception,Real,2,1,1,Explicit,3.3467359912508727
5,5,chocolates,Ben,Lisa,bottom,top,"It is Ben's birthday, and their auntie pops in to give them a box of chocolates. Ben puts the chocolates in the bottom drawer for safe-keeping. A few minutes later, Ben's greedy sibling Lisa comes in and asks Ben: “Where have you put your chocolates, in your bottom drawer or your top drawer?” Ben does not want Lisa to find the chocolates. Ben says the chocolates are in the [MASK] drawer.",Deception,Real,2,1,1,Explicit,4.720851817826508
6,6,chocolates,Ben,Sean,top,bottom,"It is Ben's birthday, and their auntie pops in to give them a box of chocolates. Ben puts the chocolates in the top drawer for safe-keeping. A few minutes later, Ben's greedy sibling Sean comes in and asks Ben: “Where have you put your chocolates, in your top drawer or your bottom drawer?” Ben does not want Sean to find the chocolates. Ben says the chocolates are in the [MASK] drawer.",Deception,Real,2,1,1,Explicit,3.715044040656376
7,7,chocolates,Ben,Sean,bottom,top,"It is Ben's birthday, and their auntie pops in to give them a box of chocolates. Ben puts the chocolates in the bottom drawer for safe-keeping. A few minutes later, Ben's greedy sibling Sean comes in and asks Ben: “Where have you put your chocolates, in your bottom drawer or your top drawer?” Ben does not want Sean to find the chocolates. Ben says the chocolates are in the [MASK] drawer.",Deception,Real,2,1,1,Explicit,5.0338611357077845
8,8,sweets,Tyler,Catherine,top,bottom,"It is Tyler's birthday, and their auntie pops in to give them a box of sweets. Tyler puts the sweets in the top drawer for safe-keeping. A few minutes later, Tyler's greedy sibling Catherine comes in and asks Tyler: “Where have you put your sweets, in your top drawer or your bottom drawer?” Tyler does not want Catherine to find the sweets. Tyler says the sweets are in the [MASK] drawer.",Deception,Real,2,1,1,Explicit,1.5902509496843356
9,9,sweets,Tyler,Catherine,bottom,top,"It is Tyler's birthday, and their auntie pops in to give them a box of sweets. Tyler puts the sweets in the bottom drawer for safe-keeping. A few minutes later, Tyler's greedy sibling Catherine comes in and asks Tyler: “Where have you put your sweets, in your bottom drawer or your top drawer?” Tyler does not want Catherine to find the sweets. Tyler says the sweets are in the [MASK] drawer.",Deception,Real,2,1,1,Explicit,3.4460334724458845
