,Unnamed: 0,item,a,b,real,alt,passage,condition,first_mention,mentions_real,mentions_alt,stim_number,knowledge_cue,log_odds
0,0,chocolates,Pamela,Marta,top,bottom,"It is Pamela's birthday, and their auntie pops in to give them a box of chocolates. Pamela puts the chocolates in the top drawer for safe-keeping. A few minutes later, Pamela's greedy sibling Marta comes in and asks Pamela: “Where have you put your chocolates, in your top drawer or your bottom drawer?” Pamela does not want Marta to find the chocolates. Pamela says the chocolates are in the [MASK] drawer.",Deception,Real,2,1,1,Explicit,-0.0014476520000000007
1,1,chocolates,Pamela,Marta,bottom,top,"It is Pamela's birthday, and their auntie pops in to give them a box of chocolates. Pamela puts the chocolates in the bottom drawer for safe-keeping. A few minutes later, Pamela's greedy sibling Marta comes in and asks Pamela: “Where have you put your chocolates, in your bottom drawer or your top drawer?” Pamela does not want Marta to find the chocolates. Pamela says the chocolates are in the [MASK] drawer.",Deception,Real,2,1,1,Explicit,-0.012902744999999997
2,2,chocolates,Pamela,Sean,top,bottom,"It is Pamela's birthday, and their auntie pops in to give them a box of chocolates. Pamela puts the chocolates in the top drawer for safe-keeping. A few minutes later, Pamela's greedy sibling Sean comes in and asks Pamela: “Where have you put your chocolates, in your top drawer or your bottom drawer?” Pamela does not want Sean to find the chocolates. Pamela says the chocolates are in the [MASK] drawer.",Deception,Real,2,1,1,Explicit,-7.959800000000017e-05
3,3,chocolates,Pamela,Sean,bottom,top,"It is Pamela's birthday, and their auntie pops in to give them a box of chocolates. Pamela puts the chocolates in the bottom drawer for safe-keeping. A few minutes later, Pamela's greedy sibling Sean comes in and asks Pamela: “Where have you put your chocolates, in your bottom drawer or your top drawer?” Pamela does not want Sean to find the chocolates. Pamela says the chocolates are in the [MASK] drawer.",Deception,Real,2,1,1,Explicit,-0.014093083999999999
4,4,chocolates,Ben,Lisa,top,bottom,"It is Ben's birthday, and their auntie pops in to give them a box of chocolates. Ben puts the chocolates in the top drawer for safe-keeping. A few minutes later, Ben's greedy sibling Lisa comes in and asks Ben: “Where have you put your chocolates, in your top drawer or your bottom drawer?” Ben does not want Lisa to find the chocolates. Ben says the chocolates are in the [MASK] drawer.",Deception,Real,2,1,1,Explicit,0.001838412000000001
5,5,chocolates,Ben,Lisa,bottom,top,"It is Ben's birthday, and their auntie pops in to give them a box of chocolates. Ben puts the chocolates in the bottom drawer for safe-keeping. A few minutes later, Ben's greedy sibling Lisa comes in and asks Ben: “Where have you put your chocolates, in your bottom drawer or your top drawer?” Ben does not want Lisa to find the chocolates. Ben says the chocolates are in the [MASK] drawer.",Deception,Real,2,1,1,Explicit,-0.017727534999999996
6,6,chocolates,Ben,Sean,top,bottom,"It is Ben's birthday, and their auntie pops in to give them a box of chocolates. Ben puts the chocolates in the top drawer for safe-keeping. A few minutes later, Ben's greedy sibling Sean comes in and asks Ben: “Where have you put your chocolates, in your top drawer or your bottom drawer?” Ben does not want Sean to find the chocolates. Ben says the chocolates are in the [MASK] drawer.",Deception,Real,2,1,1,Explicit,0.001931488000000002
7,7,chocolates,Ben,Sean,bottom,top,"It is Ben's birthday, and their auntie pops in to give them a box of chocolates. Ben puts the chocolates in the bottom drawer for safe-keeping. A few minutes later, Ben's greedy sibling Sean comes in and asks Ben: “Where have you put your chocolates, in your bottom drawer or your top drawer?” Ben does not want Sean to find the chocolates. Ben says the chocolates are in the [MASK] drawer.",Deception,Real,2,1,1,Explicit,-0.017715595000000004
8,8,sweets,Tyler,Catherine,top,bottom,"It is Tyler's birthday, and their auntie pops in to give them a box of sweets. Tyler puts the sweets in the top drawer for safe-keeping. A few minutes later, Tyler's greedy sibling Catherine comes in and asks Tyler: “Where have you put your sweets, in your top drawer or your bottom drawer?” Tyler does not want Catherine to find the sweets. Tyler says the sweets are in the [MASK] drawer.",Deception,Real,2,1,1,Explicit,-0.006375723000000003
9,9,sweets,Tyler,Catherine,bottom,top,"It is Tyler's birthday, and their auntie pops in to give them a box of sweets. Tyler puts the sweets in the bottom drawer for safe-keeping. A few minutes later, Tyler's greedy sibling Catherine comes in and asks Tyler: “Where have you put your sweets, in your bottom drawer or your top drawer?” Tyler does not want Catherine to find the sweets. Tyler says the sweets are in the [MASK] drawer.",Deception,Real,2,1,1,Explicit,-0.010366331999999999
10,10,sweets,Tyler,Marta,top,bottom,"It is Tyler's birthday, and their auntie pops in to give them a box of sweets. Tyler puts the sweets in the top drawer for safe-keeping. A few minutes later, Tyler's greedy sibling Marta comes in and asks Tyler: “Where have you put your sweets, in your top drawer or your bottom drawer?” Tyler does not want Marta to find the sweets. Tyler says the sweets are in the [MASK] drawer.",Deception,Real,2,1,1,Explicit,-0.004066865999999999
