,Item,Condition,Condition code,Scenario,probability,belief,consistency,final_word,masked_passages
0,1,1,TB-C,"Janet unpacked the belongings and put the painting in the hall.  Later, Janet saw Barry move the painting to the kitchen. When Janet wanted to see the painting she looked in the kitchen.",0.009171878919005392,TB,C,kitchen,"Janet unpacked the belongings and put the painting in the hall.  Later, Janet saw Barry move the painting to the kitchen. When Janet wanted to see the painting she looked in the [MASK] ."
1,1,2,TB-IC,"Janet unpacked the belongings and put the painting in the hall.  Later, Janet saw Barry move the painting to the kitchen. When Janet wanted to see the painting she looked in the hall.",0.2861443758010864,TB,IC,hall,"Janet unpacked the belongings and put the painting in the hall.  Later, Janet saw Barry move the painting to the kitchen. When Janet wanted to see the painting she looked in the [MASK] ."
2,1,3,FB-C,"Janet unpacked the belongings and put the painting in the hall.  While Janet was busy, Barry moved the painting to the kitchen. When Janet wanted to see the painting she looked in the hall.",0.09458736330270769,FB,C,hall,"Janet unpacked the belongings and put the painting in the hall.  While Janet was busy, Barry moved the painting to the kitchen. When Janet wanted to see the painting she looked in the [MASK] ."
3,1,4,FB-IC,"Janet unpacked the belongings and put the painting in the hall.  While Janet was busy, Barry moved the painting to the kitchen. When Janet wanted to see the painting she looked in the kitchen.",0.013767755590379242,FB,IC,kitchen,"Janet unpacked the belongings and put the painting in the hall.  While Janet was busy, Barry moved the painting to the kitchen. When Janet wanted to see the painting she looked in the [MASK] ."
4,2,1,TB-C,"Mary planted all her seeds in trays and put them in the greenhouse.  Later, Mary spotted her husband move the plants to the garage. When Mary wanted to look at her plants she looked in the garage.",0.012732417322695255,TB,C,garage,"Mary planted all her seeds in trays and put them in the greenhouse.  Later, Mary spotted her husband move the plants to the garage. When Mary wanted to look at her plants she looked in the [MASK] ."
5,2,2,TB-IC,"Mary planted all her seeds in trays and put them in the greenhouse.  Later, Mary spotted her husband move the plants to the garage. When Mary wanted to look at her plants she looked in the greenhouse.",0.16492301225662231,TB,IC,greenhouse,"Mary planted all her seeds in trays and put them in the greenhouse.  Later, Mary spotted her husband move the plants to the garage. When Mary wanted to look at her plants she looked in the [MASK] ."
6,2,3,FB-C,"Mary planted all her seeds in trays and put them in the greenhouse.  While Mary was distracted, her husband moved the plants to the garage. When Mary wanted to look at her plants she looked in the greenhouse.",0.08547995239496231,FB,C,greenhouse,"Mary planted all her seeds in trays and put them in the greenhouse.  While Mary was distracted, her husband moved the plants to the garage. When Mary wanted to look at her plants she looked in the [MASK] ."
7,2,4,FB-IC,"Mary planted all her seeds in trays and put them in the greenhouse.  While Mary was distracted, her husband moved the plants to the garage. When Mary wanted to look at her plants she looked in the garage.",0.13743610680103302,FB,IC,garage,"Mary planted all her seeds in trays and put them in the greenhouse.  While Mary was distracted, her husband moved the plants to the garage. When Mary wanted to look at her plants she looked in the [MASK] ."
8,3,1,TB-C,"Joanne folded the clean clothes and put them into the lounge.  Later, Joanne saw Alex move the clothes to the study. When Joanne wanted to iron the clothes she looked in the study.",0.006840146612375974,TB,C,study,"Joanne folded the clean clothes and put them into the lounge.  Later, Joanne saw Alex move the clothes to the study. When Joanne wanted to iron the clothes she looked in the [MASK] ."
9,3,2,TB-IC,"Joanne folded the clean clothes and put them into the lounge.  Later, Joanne saw Alex move the clothes to the study. When Joanne wanted to iron the clothes she looked in the lounge.",0.0011483539128676053,TB,IC,lounge,"Joanne folded the clean clothes and put them into the lounge.  Later, Joanne saw Alex move the clothes to the study. When Joanne wanted to iron the clothes she looked in the [MASK] ."
10,3,3,FB-C,"Joanne folded the clean clothes and put them into the lounge.  But while Joanne was cooking, Alex moved the clothes to the study. When Joanne wanted to iron the clothes she looked in the lounge.",0.00014243469922803345,FB,C,lounge,"Joanne folded the clean clothes and put them into the lounge.  But while Joanne was cooking, Alex moved the clothes to the study. When Joanne wanted to iron the clothes she looked in the [MASK] ."
11,3,4,FB-IC,"Joanne folded the clean clothes and put them into the lounge.  But while Joanne was cooking, Alex moved the clothes to the study. When Joanne wanted to iron the clothes she looked in the study.",0.011794936843216417,FB,IC,study,"Joanne folded the clean clothes and put them into the lounge.  But while Joanne was cooking, Alex moved the clothes to the study. When Joanne wanted to iron the clothes she looked in the [MASK] ."
12,4,1,TB-C,"John washed the dishes after his breakfast and left his watch in the kitchen.  Later, John noticed Victoria move the watch to the bedroom. When John wanted to find his watch he looked in the bedroom.",0.03549466282129287,TB,C,bedroom,"John washed the dishes after his breakfast and left his watch in the kitchen.  Later, John noticed Victoria move the watch to the bedroom. When John wanted to find his watch he looked in the [MASK] ."
13,4,2,TB-IC,"John washed the dishes after his breakfast and left his watch in the kitchen.  Later, John noticed Victoria move the watch to the bedroom. When John wanted to find his watch he looked in the kitchen.",0.4301862120628357,TB,IC,kitchen,"John washed the dishes after his breakfast and left his watch in the kitchen.  Later, John noticed Victoria move the watch to the bedroom. When John wanted to find his watch he looked in the [MASK] ."
14,4,3,FB-C,"John washed the dishes after his breakfast and left his watch in the kitchen.  While John was dressing, Victoria moved the watch to the bedroom. When John wanted to find his watch he looked in the kitchen.",0.2784035801887512,FB,C,kitchen,"John washed the dishes after his breakfast and left his watch in the kitchen.  While John was dressing, Victoria moved the watch to the bedroom. When John wanted to find his watch he looked in the [MASK] ."
15,4,4,FB-IC,"John washed the dishes after his breakfast and left his watch in the kitchen.  While John was dressing, Victoria moved the watch to the bedroom. When John wanted to find his watch he looked in the bedroom.",0.051855903118848794,FB,IC,bedroom,"John washed the dishes after his breakfast and left his watch in the kitchen.  While John was dressing, Victoria moved the watch to the bedroom. When John wanted to find his watch he looked in the [MASK] ."
16,5,1,TB-C,"Mum bought the Christmas presents and hid them all in the bedroom.  Later, Mum watched Dad move the presents to the loft. When Mum wanted to see the presents again she looked in the loft.",0.05360664799809456,TB,C,loft,"Mum bought the Christmas presents and hid them all in the bedroom.  Later, Mum watched Dad move the presents to the loft. When Mum wanted to see the presents again she looked in the [MASK] ."
17,5,2,TB-IC,"Mum bought the Christmas presents and hid them all in the bedroom.  Later, Mum watched Dad move the presents to the loft. When Mum wanted to see the presents again she looked in the bedroom.",0.2217082381248474,TB,IC,bedroom,"Mum bought the Christmas presents and hid them all in the bedroom.  Later, Mum watched Dad move the presents to the loft. When Mum wanted to see the presents again she looked in the [MASK] ."
18,5,3,FB-C,"Mum bought the Christmas presents and hid them all in the bedroom.  While Mum was busy, Dad moved the presents to the loft. When Mum wanted to see the presents again she looked in the bedroom.",0.0603235773742199,FB,C,bedroom,"Mum bought the Christmas presents and hid them all in the bedroom.  While Mum was busy, Dad moved the presents to the loft. When Mum wanted to see the presents again she looked in the [MASK] ."
19,5,4,FB-IC,"Mum bought the Christmas presents and hid them all in the bedroom.  While Mum was busy, Dad moved the presents to the loft. When Mum wanted to see the presents again she looked in the loft.",0.15839830040931704,FB,IC,loft,"Mum bought the Christmas presents and hid them all in the bedroom.  While Mum was busy, Dad moved the presents to the loft. When Mum wanted to see the presents again she looked in the [MASK] ."
20,6,1,TB-C,"Kevin returned shops and put the chocolate in the fridge.  Later, Kevin noticed Jessica move the chocolate to her handbag. When Kevin wanted to eat the chocolate he looked in the handbag.",5.544633836507278e-07,TB,C,handbag,"Kevin returned shops and put the chocolate in the fridge.  Later, Kevin noticed Jessica move the chocolate to her handbag. When Kevin wanted to eat the chocolate he looked in the [MASK] ."
